Year,Industrial aggregate excluding unclassified businesses,Goods producing industries,"Forestry, logging and support","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Service producing industries,Trade,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services (except public administration),Public administration
2001,637.6,777.31,777.94,"1,056.77","1,058.07",751.14,750.07,597.55,513.58,704.57,792.25,,,879.14,854.62,506.89,682.97,558.14,424.46,263.74,500.96,772.38
2002,653.13,794.23,772.24,"1,018.13","1,134.96",779.83,764.17,613.76,513.52,718.97,845.41,843.01,603.05,901.88,937.19,530.65,698.76,568.11,417.2,276.84,514.32,835.76
2003,670.04,815.64,788.92,"1,067.96","1,169.25",806.35,779.8,630.14,527.38,751.73,855.53,870.08,637.97,916.02,913.63,523.07,725.1,598.64,427.28,272.43,534.73,856.21
2004,687.21,835.92,834.15,"1,168.60","1,175.04",793.14,802.53,647,537.63,770.95,881.65,872.77,640.55,928.92,"1,006.85",535.99,748.63,625.61,433.66,280.31,563.33,880.7
2005,715.74,869.12,833.7,"1,170.17","1,196.93",823.45,840.12,675.02,557.89,795.97,924.25,914.73,684.04,982.83,991.7,568.59,777.42,654.93,436.45,285.15,595.26,910.93
2006,731.86,880.23,850.07,"1,175.60","1,238.00",835.27,847.1,693.16,574.4,797.55,933.19,945.68,696.84,"1,008.51","1,025.61",588.07,805.9,673.69,440.79,294.77,608.75,932.68
2007,763.87,930.62,854.05,"1,267.06","1,295.83",910.56,880.68,721.58,587.91,829.49,973.52,990.6,745.54,"1,050.29","1,070.55",631.96,832.11,692.31,463.83,314.13,634.79,983.47
2008,787.15,965.19,885.79,"1,375.75","1,327.42",946.45,901.24,743.68,601.77,850.41,971.61,990.09,756.17,"1,084.50","1,060.30",657.5,860.07,728.08,497.65,326.69,658.09,"1,015.06"
2009,803.91,977.36,811.09,"1,473.68","1,383.28",990.51,882.12,765.04,618.59,851.51,"1,051.53","1,029.72",756.07,"1,123.74","1,126.84",654.93,874.98,757.91,509.16,332.07,679.01,"1,034.92"
2010,831.62,1010.75,900.39,1548.97,1483.63,994.17,917.25,791.42,638.72,849.79,1043.65,1044.53,808.27,1166.24,1180.33,692.42,931.76,774.53,548.7,349.85,690.05,1069.21
2011,850.39,1034.97,924.83,1575.35,1525.83,1016.11,933.71,808.28,655.36,881.15,1051.45,1059.15,819.57,1191.21,1177.28,716.84,952.5,794.71,546.38,353.92,700.05,1089.55
2012,869.77,1066.92,936.54,1650.1,1515.56,1057.16,954.37,824.39,667.43,892.87,1106.63,1086.51,844.74,1222.09,1205.09,712.09,980.41,801.52,538.31,364.09,717.84,1122.09
2013,884.91,1095.52,983.64,1676.53,1549.28,1098.54,973.17,836.63,674.49,933.73,1119.28,1108.19,847.46,1254.06,1220.58,725.24,985.69,819.09,555.79,358.33,737.17,1140.91
2014,909.09,1138.63,977.17,1862.27,1651.63,1129.27,996.29,856.81,693.4,967.52,1150.26,1163.01,911.68,1286.77,1308.75,726.43,980.91,839.95,575.57,366.75,743.14,1169.25
2015,928.21,1152.92,1038.29,1842.33,1633.05,1139.54,1030.37,877.82,715.82,993.21,1195.22,1205.86,924.65,1318.26,1389.05,752.83,1003.49,854.9,566.32,370.59,757.97,1194.19
2016,934.66,1162.14,1049.77,1912.19,1648.04,1143.28,1042.65,885.16,720.53,976.71,1284.28,1257.51,958.34,1300.56,1422.75,764.43,1014.93,851.84,582.1,366.97,775.18,1202.88
2017,951.75,1162.35,1052.17,1835.34,1735.01,1146.13,1041.3,905.65,734.64,1000.75,1256.72,1304.33,967.2,1333.05,1628.1,776.21,1036.28,872.58,587.68,379.2,791.34,1231.34
2018,975.86,1177.97,1099.64,1873.46,1764.42,1178.74,1041.21,931.38,774.91,999.76,1264.48,1342.34,1019.38,1367.32,1660.17,775.56,1046.19,890.21,594.01,400.52,815.79,1271.42
2019,1002.59,1216.43,1128.88,1981.26,1763.68,1204.91,1085.02,955.92,783.01,1054.31,1297.65,1357.12,1028.15,1422.63,1544.66,824.62,1067.41,913.49,612.93,415.4,839.14,1298.33
2020,1068.91,1241.63,1135.12,1935.17,1791.33,1247.71,1104.54,1030.89,820.8,1113.57,1408.49,1448.92,1109.15,1464.34,1525.54,866.96,,972.65,694.65,432.36,904.35,1379.85
2021,1101.17,1282.34,1178.5,2007.77,1805.67,1309.69,1130.99,1061.12,838.78,1127.8,1571.63,1471.55,1161.08,1515.92,1485.82,932.6,,976.46,717.91,453.15,949.12,1418.95
